"SureStay Plus by BW, San Jose Central City",,,,,,Manager's Report,,,,,,,,,
2650 Monterey Road,,,,,,,,User:,Mihir Desai,,,,,,
"San Jose, California 95111-3050",,,,,,,,Date:,8-Jul-26,,,,,,
408-279-6600,,,,,,,,Time:,11:17 AM,,,,,,
Date:,,7/7/2026,,,,,,,,,,,,,
Folio Charges / Income ,,,Today,MTD,,,YTD,,,,,,,,
,Room,,"$6,129.03 ","$36,246.81 ",,,"$1,019,221.27 ",,,,,,,,
,Tax,,$869.90 ,"$5,144.75 ",,,"$144,639.27 ",,,,,,,,
,Misc,,$200.00 ,$300.00 ,,,"$7,846.86 ",,,,,,,,
,Laundry,,$0.00 ,$0.00 ,,,$15.00 ,,,,,,,,
,Canary,,$30.00 ,$80.00 ,,,"$1,845.00 ",,,,,,,,
,Parking,,$0.00 ,$0.00 ,,,$735.00 ,,,,,,,,
,HIE Market Sell,,$0.00 ,$0.00 ,,,$59.00 ,,,,,,,,
,Total,,"$7,228.93 ","$41,771.56 ",,,"$1,174,361.40 ",,,,,,,,
Payments,,,Today,MTD,YTD,,,,,,,,,,
,Cash,,$0.00 ,($788.50),($531.55),,,,,,,,,,
,Credit Cards,,"($6,704.51)","($45,718.09)","($1,163,582.60)",,,,,,,,,,
,Accounts,,($85.65),"($1,579.91)","($27,324.09)",,,,,,,,,,
,CLC Direct Bill,,$0.00 ,$0.00 ,"($2,095.56)",,,,,,,,,,
,Airbnb Direct Bill,,$0.00 ,$0.00 ,($357.64),,,,,,,,,,
,Total,,"($6,790.16)","($48,086.50)","($1,193,891.40)",,,,,,,,,,
,Ledger,,,Beginning Balance,,,,,,,,,,,
,,,,,,,Today's Debits,,,Today's Credits,,,,Ending Balance,
,Guest Ledger,,,"($7,600.63)",,,"($8,021.17)",,,"$8,459.94 ",,,,"($7,161.86)",
,Advance Deposit  Ledger,,,$0.00 ,,,"($5,657.14)",,,"$5,657.14 ",,,,$0.00 ,
,City  Ledger,,,"$18,456.53 ",,,$0.00 ,,,$85.65 ,,,,"$18,542.18 ",
,Ledger Totals,,,"$10,855.90 ",,,"($13,678.31)",,,"$14,202.73 ",,,,"$11,380.32 ",
,Occupancy,,,,,Today,,,MTD,,,,YTD,,
,,Occupied ,,,50,,,304,,,,8788,,,
,,Occupied Percent,,,87.72%,,,76.19%,,,,82.01%,,,
,,ADR,,,$122.58 ,,,$119.23 ,,,$115.98 ,,,,
,,REVPAR,,,$107.53 ,,,$90.84 ,,,$95.11 ,,,,
,,Adults,,,80,,,432,,,,13235,,,
,,Children,,,3,,,16,,,,428,,,
,,Infants,,,0,,,0,,,,0,,,
,,Total,,,83,,,448,,,,13663,,,
Statistics,,,,,Today,,,Yesterday,,,,Tomorrow,,,
,,Arrivals,,,24,,,30,,,,6,,,
,,Departures,,,23,,,24,,,,23,,,
,,In-House,,,50,,,49,,,,33,,,
,,No Shows,,,0,,,0,,,,n/a,,,
,,Reservations,,,20,,,34,,,,n/a,,,
,,Cancellations,,,2,,,2,,,,n/a,,,
,,,Out of Order,,,0,,,0,,,,n/a,,
,City Ledger,,,,Today,,,,MTD,,,YTD,,,
,,Charges,,,$85.65 ,,,,"$1,579.91 ",,,"$23,741.33 ",,,
,,Payments,,,$0.00 ,,,,$0.00 ,,,"($5,199.20)",,,
,,Balance,,,$85.65 ,,,,"$1,579.91 ",,,"$18,542.13 ",,,
,,,,,,0-30 days,,,,31-60 days,,,61-90 days,91-120 days,121+ days
,,,,,,"$9,338.65 ",,,,"$4,469.10 ",,,"$2,009.08 ",($12.28),"$2,737.63 "
Total Running Balance:,,,,,,,"$18,542.18 ",,,,,,,,
Forecast,,,,,,,,,,,,,,,
,Date,,Occupancy,Occupancy ,,,,Room Revenue,,,Total Guests,,,,
,7/8/2026,,33,57.90%,,,,"$4,120.41 ",,,58,,,,
,7/9/2026,,22,38.60%,,,,"$2,824.42 ",,,42,,,,
,7/10/2026,,9,15.80%,,,,"$1,193.14 ",,,20,,,,
,7/11/2026,,8,14.00%,,,,"$1,048.59 ",,,19,,,,
,7/12/2026,,11,19.30%,,,,"$1,435.25 ",,,22,,,,
,7/13/2026,,14,24.60%,,,,"$1,770.39 ",,,25,,,,
,7/14/2026,,13,22.80%,,,,"$1,766.59 ",,,21,,,,
,7/15/2026,,9,15.80%,,,,"$1,150.05 ",,,14,,,,
,7/16/2026,,6,10.50%,,,,$727.98 ,,,10,,,,
,7/17/2026,,9,15.80%,,,,"$1,124.95 ",,,17,,,,
,7/18/2026,,5,8.80%,,,,$604.46 ,,,9,,,,
,7/19/2026,,7,12.30%,,,,$854.99 ,,,10,,,,
,7/20/2026,,9,15.80%,,,,"$1,188.98 ",,,15,,,,
,7/21/2026,,12,21.10%,,,,"$1,563.00 ",,,19,,,,
Total,167,,"$21,373.20 ",301,,,,,,,,,,,
Average,11.9,20.90%,"$1,526.66 ",22,,,,,,,,,,,
