Rate Plan,Room Nights,ADR,"Room
Revenue","% Room
Rev.","Non-Room
Revenue",% Non-Room Rev.,"Total
Revenue","% Total
Rev."
15C,3,$ 118.83,$ 356.49,5.8%,$ 0.00,0.0%,$ 356.49,5.6%
2UB,2,$ 131.42,$ 262.84,4.3%,$ 0.00,0.0%,$ 262.84,4.1%
9Q,1,$ 123.40,$ 123.40,2.0%,$ 0.00,0.0%,$ 123.40,1.9%
9QB,4,$ 147.10,$ 588.40,9.6%,$ 0.00,0.0%,$ 588.40,9.3%
BC5,2,$ 145.95,$ 291.90,4.8%,$ 0.00,0.0%,$ 291.90,4.6%
BC6,1,$ 155.22,$ 155.22,2.5%,$ 0.00,0.0%,$ 155.22,2.4%
BK5,2,$ 137.75,$ 275.50,4.5%,$ 0.00,0.0%,$ 275.50,4.3%
BW,1,$ 153.44,$ 153.44,2.5%,$ 0.00,0.0%,$ 153.44,2.4%
CLC,1,$ 75.00,$ 75.00,1.2%,$ 0.00,0.0%,$ 75.00,1.2%
EC5,2,$ 111.86,$ 223.72,3.6%,$ 0.00,0.0%,$ 223.72,3.5%
EC6,4,$ 126.46,$ 505.82,8.2%,$ 0.00,0.0%,$ 505.82,8.0%
EC9,2,$ 108.71,$ 217.42,3.5%,$ 0.00,0.0%,$ 217.42,3.4%
ECR,1,$ 126.60,$ 126.60,2.1%,$ 0.00,0.0%,$ 126.60,2.0%
ECZ,1,$ 105.34,$ 105.34,1.7%,$ 0.00,0.0%,$ 105.34,1.7%
FX2,1,$ 0.00,$ 0.00,0.0%,$ 0.00,0.0%,$ 0.00,0.0%
GTL,5,$ 112.12,$ 560.60,9.2%,$ 0.00,0.0%,$ 560.60,8.8%
PLZ,1,$ 119.34,$ 119.34,1.9%,$ 0.00,0.0%,$ 119.34,1.9%
RACK,9,$ 123.50,"$ 1,111.49",18.1%,$ 230.00,100.0%,"$ 1,341.49",21.1%
RFB,4,$ 124.42,$ 497.68,8.1%,$ 0.00,0.0%,$ 497.68,7.8%
SR5,1,$ 118.83,$ 118.83,1.9%,$ 0.00,0.0%,$ 118.83,1.9%
XN,2,$ 130.00,$ 260.00,4.2%,$ 0.00,0.0%,$ 260.00,4.1%
,50,$122.58,"$ 6,129.03",,$ 230.00,,"$ 6,359.03",
