Transaction Summary,,,,
      07/07/2026,,,,
Category,Type,TODAY,MTD,YTD
Room,,,,
,Room Rent,"$ 6,129.03","$ 36,246.81","$ 1,018,277.16"
,Early Check In,$ 0.00,$ 0.00,$ 270.00
,Late Check Out,$ 0.00,$ 0.00,$ 75.00
,Cancellation Charge,$ 0.00,$ 0.00,$ 45.02
,No Show Charge,$ 0.00,$ 0.00,$ 554.09
TOTAL Room:,,"$ 6,129.03","$ 36,246.81","$ 1,019,221.27"
Cash,,,,
,Cash,$ 0.00,-$ 788.50,-$ 531.55
TOTAL Cash:,,$ 0.00,-$ 788.50,-$ 531.55
Tax,,,,
,Occupancy Tax,$ 612.84,"$ 3,624.49","$ 101,896.85"
,County Tax,$ 245.18,"$ 1,449.92","$ 40,758.99"
,Tourism Fee,$ 11.88,$ 70.34,"$ 1,983.43"
TOTAL Tax:,,$ 869.90,"$ 5,144.75","$ 144,639.27"
Credit Cards,,,,
,American Express,-$ 428.35,-$ 828.10,"-$ 86,976.94"
,Discover,$ 0.00,$ 0.00,"-$ 6,315.26"
,Mastercard,"-$ 2,822.03","-$ 22,276.11","-$ 600,567.39"
,Visa,"-$ 3,454.13","-$ 22,613.88","-$ 469,723.02"
TOTAL Credit Cards:,,"-$ 6,704.51","-$ 45,718.09","-$ 1,163,582.61"
Accounts,,,,
,Direct Bill,-$ 85.65,"-$ 1,579.91","-$ 23,741.33"
,BWS,$ 0.00,$ 0.00,"-$ 3,190.39"
,Write Off,$ 0.00,$ 0.00,$ 0.99
,Settled In Shift4,$ 0.00,$ 0.00,-$ 393.36
TOTAL Accounts:,,-$ 85.65,"-$ 1,579.91","-$ 27,324.09"
Misc,,,,
,Electric Charger,$ 0.00,$ 0.00,$ 165.00
,SMOKING,$ 200.00,$ 200.00,$ 380.00
,PET FEE,$ 0.00,$ 0.00,$ 795.00
,Misc Non-Taxable,$ 0.00,$ 100.00,"$ 6,506.86"
TOTAL Misc:,,$ 200.00,$ 300.00,"$ 7,846.86"
Laundry,,,,
,Soap,$ 0.00,$ 0.00,$ 15.00
TOTAL Laundry:,,$ 0.00,$ 0.00,$ 15.00
CLC Direct Bill,,,,
,CLC Direct Bill,$ 0.00,$ 0.00,"-$ 2,095.56"
TOTAL CLC Direct Bill:,,$ 0.00,$ 0.00,"-$ 2,095.56"
Airbnb Diract Bill,,,,
,Airbnb Billing,$ 0.00,$ 0.00,-$ 357.64
TOTAL Airbnb Diract Bill:,,$ 0.00,$ 0.00,-$ 357.64
Canary,,,,
,Early Check-in,$ 0.00,$ 50.00,$ 680.00
,Late Check-out,$ 30.00,$ 30.00,$ 705.00
,Pet Fee,$ 0.00,$ 0.00,$ 75.00
,Room Upgrade 1,$ 0.00,$ 0.00,$ 305.00
,Room Upgrade 2,$ 0.00,$ 0.00,$ 80.00
TOTAL Canary:,,$ 30.00,$ 80.00,"$ 1,845.00"
Parking,,,,
,Parking Fees,$ 0.00,$ 0.00,$ 735.00
TOTAL Parking:,,$ 0.00,$ 0.00,$ 735.00
HIE Market Sell,,,,
,Water,$ 0.00,$ 0.00,$ 31.00
,Soda,$ 0.00,$ 0.00,$ 28.00
TOTAL HIE Market Sell:,,$ 0.00,$ 0.00,$ 59.00
GRAND TOTAL:,,$ 438.77,"-$ 6,314.94","-$ 19,530.05"
